"","X","servidor","aplicacion","DataCenter","tipo","Powerstate","fv","capacidad_fantasia","capacidad_usada","capacidad_asignada","n_app","consumo_dividido_asignado","consumo_dividido_usado","consumo_dividido_fantasia"
"1",55,"2012 data center 64 bits eng","2012 DATA CENTER 64 BITS ENG","QRO","OTROS","poweredOff","virtual",55.6,8.4,64,1,64,8.4,55.6
"2",233,"acronis","ACRONIS","QRO","OTROS","poweredOn","virtual",139.189453125,60.810546875,200,1,200,60.810546875,139.189453125
"3",531,"adu070","ADU","QRO","OTROS","poweredOn","fisico",30.9643808114962,129.085619188504,160.05,2,80.025,64.542809594252,15.4821904057481
"4",594,"adu070","ADUANAS","QRO","OTROS","poweredOn","fisico",30.9643808114962,129.085619188504,160.05,2,80.025,64.542809594252,15.4821904057481
"5",529,"adu430","ADU","QRO","OTROS","poweredOn","fisico",5.51666666666667,116.883333333333,122.4,2,61.2,58.4416666666665,2.75833333333334
"6",552,"adu430","ADUANAS","QRO","OTROS","poweredOn","fisico",5.51666666666667,116.883333333333,122.4,2,61.2,58.4416666666665,2.75833333333334
"7",530,"adu470","ADU","QRO","OTROS","poweredOn","fisico",6.61845238095238,57.4315476190476,64.05,2,32.025,28.7157738095238,3.30922619047619
"8",548,"adu470","ADUANAS","QRO","OTROS","poweredOn","fisico",6.61845238095238,57.4315476190476,64.05,2,32.025,28.7157738095238,3.30922619047619
"9",528,"adu520","ADU","QRO","OTROS","poweredOn","fisico",2.28988095238095,439.360119047619,441.65,2,220.825,219.680059523809,1.14494047619047
"10",546,"adu520","ADUANAS","QRO","OTROS","poweredOn","fisico",2.28988095238095,439.360119047619,441.65,2,220.825,219.680059523809,1.14494047619047
"11",867,"agsuat","AGS","QRO","UAT","poweredOn","fisico",78.6460834037757,322.953916596224,401.6,2,200.8,161.476958298112,39.3230417018879
"12",11649,"agsuat","SISTEMA DE CONTABILID ADGL","QRO","UAT","poweredOn","fisico",78.6460834037757,322.953916596224,401.6,2,200.8,161.476958298112,39.3230417018879
